bd,sn,uw,lw,sz,id
15,-1.0,1,15,31,661
17,1.0,10,3,30,662
33,-1.0,0,65,98,663
32,1.0,0,34,66,664
42,-1.0,8,0,50,665
26,-1.0,20,0,46,666
22,1.0,18,6,46,667
51,-1.0,0,0,51,668
19,1.0,9,16,44,669
3,-1.0,19,8,30,670
0,-1.0,21,14,35,671
23,-1.0,8,16,47,672
12,-1.0,0,24,36,673
28,1.0,1,11,40,674
1,1.0,12,11,24,675
10,-1.0,1,15,26,676
13,-1.0,0,14,27,677
22,1.0,4,6,32,678
30,-1.0,9,1,40,679
22,-1.0,7,18,47,680
13,-1.0,8,18,39,681
2,-1.0,23,6,31,682
26,-1.0,5,9,40,683
18,1.0,4,0,22,684
36,1.0,6,13,55,685
18,-1.0,0,10,28,686
20,1.0,7,7,34,687
14,-1.0,2,3,19,688
0,1.0,5,15,20,689
21,1.0,2,3,26,690
26,1.0,10,1,37,691
21,-1.0,1,7,29,692
3,1.0,11,1,15,693
0,-1.0,9,22,31,694
15,-1.0,5,0,20,695
18,-1.0,0,1,19,696
16,-1.0,6,3,25,697
13,-1.0,0,4,17,698
17,1.0,1,8,26,699
30,-1.0,2,4,36,700
14,1.0,0,0,14,701
10,1.0,1,14,25,702
7,-1.0,1,10,18,703
6,1.0,3,2,11,704
24,1.0,3,2,29,705
10,-1.0,2,7,19,706
33,1.0,0,4,37,707
5,1.0,2,7,14,708
4,1.0,2,7,13,709
11,-1.0,8,16,35,710
7,-1.0,5,9,21,711
15,-1.0,0,13,28,712
47,1.0,4,6,57,713
14,-1.0,21,1,36,714
29,-1.0,0,15,44,715
45,-1.0,0,6,51,716
5,1.0,7,19,31,717
15,1.0,4,14,33,718
26,1.0,2,13,41,719
3,-1.0,9,14,26,720
8,-1.0,3,2,13,721
6,1.0,20,1,27,722
25,-1.0,5,10,40,723
88,-1.0,0,8,96,724
35,-1.0,14,19,68,725
37,-1.0,0,0,37,726
54,-1.0,0,3,57,727
10,1.0,25,18,53,728
24,1.0,6,16,46,729
36,-1.0,8,4,48,730
70,-1.0,0,11,81,731
50,1.0,7,3,60,732
6,-1.0,8,15,29,733
26,-1.0,4,1,31,734
3,-1.0,4,3,10,735
3,-1.0,22,11,36,736
53,1.0,99,0,152,737
81,-1.0,0,14,95,738
102,1.0,0,8,110,739
59,-1.0,6,13,78,740
2,-1.0,31,16,49,741
17,1.0,23,4,44,742
36,-1.0,0,9,45,743
16,-1.0,0,8,24,744
39,-1.0,13,18,70,745
25,-1.0,4,32,61,746
3,1.0,25,8,36,747
57,1.0,18,11,86,748
16,-1.0,6,17,39,749
56,1.0,0,11,67,750
6,-1.0,13,11,30,751
2,-1.0,8,29,39,752
33,1.0,4,10,47,753
24,1.0,9,22,55,754
0,-1.0,6,32,38,755
19,-1.0,15,10,44,756
8,1.0,11,17,36,757
1,1.0,7,17,25,758
12,1.0,10,20,42,759
15,-1.0,9,7,31,760
34,-1.0,23,1,58,761
0,1.0,16,18,34,762
6,-1.0,26,7,39,763
7,1.0,15,9,31,764
0,-1.0,17,9,26,765
15,-1.0,9,6,30,766
52,-1.0,1,12,65,767
6,1.0,17,5,28,768
4,-1.0,9,37,50,769
17,-1.0,4,6,27,770
4,1.0,39,5,48,771
13,1.0,10,7,30,772
16,1.0,10,4,30,773
30,-1.0,4,1,35,774
15,1.0,17,4,36,775
13,1.0,9,6,28,776
15,1.0,1,5,21,777
10,1.0,10,15,35,778
16,-1.0,3,6,25,779
7,-1.0,10,20,37,780
1,1.0,9,17,27,781
28,-1.0,2,11,41,782
3,-1.0,5,9,17,783
28,-1.0,1,23,52,784
11,-1.0,16,7,34,785
21,-1.0,2,17,40,786
66,1.0,0,2,68,787
22,1.0,8,14,44,788
5,1.0,8,15,28,789
53,1.0,10,7,70,790
51,-1.0,4,1,56,791
27,1.0,4,0,31,792
30,-1.0,9,9,48,793
20,1.0,15,0,35,794
39,-1.0,5,0,44,795
6,1.0,17,19,42,796
4,-1.0,11,17,32,797
40,-1.0,4,1,45,798
17,-1.0,19,11,47,799
12,-1.0,12,10,34,800
0,-1.0,23,13,36,801
24,-1.0,0,25,49,802
27,-1.0,7,11,45,803
50,-1.0,9,1,60,804
28,-1.0,8,1,37,805
29,-1.0,0,11,40,806
39,1.0,6,0,45,807
7,1.0,9,2,18,808
5,-1.0,10,12,27,809
10,-1.0,11,40,61,810
23,-1.0,7,45,75,811
31,-1.0,4,23,58,812
7,1.0,14,13,34,813
7,1.0,29,16,52,814
5,1.0,18,1,24,815
45,1.0,14,1,60,816
46,1.0,4,12,62,817
14,1.0,5,9,28,818
32,-1.0,0,11,43,819
18,1.0,5,19,42,820
14,-1.0,10,19,43,821
1,1.0,22,2,25,822
59,-1.0,3,1,63,823
9,1.0,0,8,17,824
40,1.0,2,1,43,825
24,1.0,0,5,29,826
11,1.0,2,30,43,827
13,1.0,7,4,24,828
2,-1.0,4,13,19,829
17,1.0,7,9,33,830
20,-1.0,13,1,34,831
5,-1.0,6,5,16,832
7,-1.0,0,8,15,833
13,-1.0,6,0,19,834
35,1.0,5,6,46,835
23,1.0,8,7,38,836
8,1.0,7,5,20,837
3,1.0,23,3,29,838
11,-1.0,6,1,18,839
4,-1.0,7,6,17,840
24,-1.0,15,2,41,841
37,1.0,4,2,43,842
2,-1.0,4,10,16,843
34,1.0,4,5,43,844
15,1.0,7,13,35,845
24,-1.0,2,7,33,846
3,-1.0,11,3,17,847
9,1.0,12,8,29,848
44,1.0,6,2,52,849
3,1.0,5,14,22,850
6,-1.0,13,7,26,851
20,-1.0,16,2,38,852
76,1.0,18,2,96,853
2,-1.0,16,6,24,854
17,-1.0,6,5,28,855
4,-1.0,9,13,26,856
17,-1.0,26,5,48,857
21,1.0,1,3,25,858
17,1.0,3,18,38,859
2,-1.0,8,24,34,860
8,-1.0,12,11,31,861
8,1.0,3,13,24,862
35,1.0,7,8,50,863
38,-1.0,6,0,44,864
36,-1.0,3,16,55,865
33,-1.0,0,4,37,866
48,1.0,2,5,55,867
30,-1.0,5,8,43,868
2,1.0,0,18,20,869
17,1.0,2,12,31,870
67,-1.0,7,3,77,871
0,-1.0,13,32,45,872
3,1.0,26,6,35,873
7,1.0,6,24,37,874
29,1.0,7,6,42,875
7,1.0,16,1,24,876
12,1.0,18,7,37,877
5,1.0,13,2,20,878
12,-1.0,5,11,28,879
6,1.0,8,1,15,880
7,-1.0,6,3,16,881
27,1.0,1,3,31,882
105,-1.0,51,10,166,883
40,-1.0,28,0,68,884
55,1.0,1,16,72,885
30,-1.0,21,6,57,886
22,-1.0,2,32,56,887
18,-1.0,3,15,36,888
5,1.0,3,38,46,889
27,1.0,19,0,46,890
23,1.0,0,5,28,891
11,-1.0,11,5,27,892
15,1.0,2,3,20,893
27,-1.0,3,23,53,894
10,1.0,0,19,29,895
4,1.0,2,8,14,896
19,-1.0,6,1,26,897
15,-1.0,8,4,27,898
3,1.0,0,19,22,899
11,1.0,0,16,27,900
3,1.0,9,15,27,901
20,1.0,1,1,22,902
4,-1.0,6,7,17,903
27,-1.0,6,2,35,904
0,-1.0,14,5,19,905
3,-1.0,2,24,29,906
11,1.0,3,1,15,907
12,-1.0,8,1,21,908
11,-1.0,9,2,22,909
20,-1.0,3,3,26,910
22,-1.0,0,6,28,911
3,1.0,10,12,25,912
15,-1.0,2,9,26,913
11,-1.0,1,21,33,914
11,1.0,4,4,19,915
21,1.0,15,1,37,916
1,1.0,5,13,19,917
14,-1.0,6,12,32,918
3,1.0,2,10,15,919
15,-1.0,2,4,21,920
8,-1.0,6,15,29,921
2,-1.0,11,10,23,922
3,-1.0,12,5,20,923
26,1.0,0,4,30,924
12,1.0,1,3,16,925
34,-1.0,1,0,35,926
14,1.0,2,16,32,927
2,-1.0,6,8,16,928
10,-1.0,6,7,23,929
14,1.0,8,6,28,930
35,-1.0,12,1,48,931
17,1.0,2,26,45,932
8,-1.0,10,19,37,933
0,-1.0,20,5,25,934
8,1.0,7,3,18,935
28,-1.0,0,2,30,936
25,-1.0,1,12,38,937
52,-1.0,18,9,79,938
5,-1.0,21,12,38,939
33,1.0,4,2,39,940
41,-1.0,0,0,41,941
0,-1.0,20,7,27,942
5,1.0,3,23,31,943
4,1.0,0,25,29,944
59,-1.0,0,2,61,945
10,1.0,7,15,32,946
21,1.0,9,12,42,947
46,1.0,0,4,50,948
83,1.0,0,1,84,949
39,1.0,4,14,57,950
16,-1.0,17,13,46,951
46,1.0,6,6,58,952
3,-1.0,9,30,42,953
5,-1.0,4,9,18,954
15,1.0,5,1,21,955
24,-1.0,18,10,52,956
39,1.0,38,8,85,957
5,-1.0,25,11,41,958
40,-1.0,0,38,78,959
