0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18037.25,18060.391912676478,18052.65,18033.25,18043.25,18045.3,18058.954587659668,18048.85,18033.1,18036.9,18018.4,18055.092245977798,18045.05,18013.5,18045.05,18063.25,18055.86917493229,18065.15,18014.75,18018.05
17979.3,17969.966420288085,18018.25,17977.5,18013.4,18003.0,17973.112475498743,18005.35,17970.2,17979.4,17990.0,17974.72081116553,18026.35,17987.9,18002.1,18025.2,17979.52835295929,18027.25,17976.4,17990.2
18003.0,17973.112475498743,18005.35,17970.2,17979.4,17990.0,17974.72081116553,18026.35,17987.9,18002.1,18025.2,17979.52835295929,18027.25,17976.4,17990.2,18023.25,17983.692319344118,18047.4,18023.15,18025.35
17990.0,17974.72081116553,18026.35,17987.9,18002.1,18025.2,17979.52835295929,18027.25,17976.4,17990.2,18023.25,17983.692319344118,18047.4,18023.15,18025.35,18026.75,17987.793050835153,18031.9,18014.85,18022.8
18025.2,17979.52835295929,18027.25,17976.4,17990.2,18023.25,17983.692319344118,18047.4,18023.15,18025.35,18026.75,17987.793050835153,18031.9,18014.85,18022.8,18004.4,17989.374665041327,18031.6,18003.5,18026.65
18023.25,17983.692319344118,18047.4,18023.15,18025.35,18026.75,17987.793050835153,18031.9,18014.85,18022.8,18004.4,17989.374665041327,18031.6,18003.5,18026.65,18004.5,17990.81517313263,18017.55,18002.35,18004.45
18026.75,17987.793050835153,18031.9,18014.85,18022.8,18004.4,17989.374665041327,18031.6,18003.5,18026.65,18004.5,17990.81517313263,18017.55,18002.35,18004.45,17970.9,17988.918489977143,18005.7,17970.9,18005.05
18004.4,17989.374665041327,18031.6,18003.5,18026.65,18004.5,17990.81517313263,18017.55,18002.35,18004.45,17970.9,17988.918489977143,18005.7,17970.9,18005.05,17964.05,17986.55006236027,17977.55,17959.6,17971.45
18004.5,17990.81517313263,18017.55,18002.35,18004.45,17970.9,17988.918489977143,18005.7,17970.9,18005.05,17964.05,17986.55006236027,17977.55,17959.6,17971.45,17959.45,17983.969104040247,17968.3,17955.65,17963.45
17970.9,17988.918489977143,18005.7,17970.9,18005.05,17964.05,17986.55006236027,17977.55,17959.6,17971.45,17959.45,17983.969104040247,17968.3,17955.65,17963.45,17955.0,17981.2101417507,17974.55,17953.65,17959.25
