date,close,high,low,open,time,ema,day,position,ema_sma_50,or_date
2025-03-13,22389.35,22409.2,22389.35,22406.6,14:45:00,22421.39926246829,3,67,22463.76147765195,2025-03-13
2025-03-13,22386.9,22402.6,22385.9,22390.15,14:50:00,22418.113618423693,3,68,22461.840670256526,2025-03-13
2025-03-13,22387.15,22397.95,22384.95,22386.85,14:55:00,22415.164702383343,3,69,22459.85546356543,2025-03-13
2025-03-13,22393.3,22395.3,22377.5,22386.4,15:00:00,22413.082349775406,3,70,22457.84713370206,2025-03-13
2025-03-13,22398.0,22401.55,22380.6,22392.85,15:05:00,22411.64593551108,3,71,22455.849501920908,2025-03-13
2025-03-13,22399.6,22402.85,22387.7,22398.8,15:10:00,22410.49870355764,3,72,22453.87078745225,2025-03-13
2025-03-13,22408.55,22412.75,22394.05,22399.5,15:15:00,22410.31311274263,3,73,22451.90004579013,2025-03-13
2025-03-13,22402.9,22410.45,22396.95,22407.85,15:20:00,22409.60710200524,3,74,22449.893660476784,2025-03-13
2025-03-13,22383.3,22408.25,22379.45,22402.6,15:25:00,22407.101663719022,3,75,22447.839597574235,2025-03-13
2025-03-17,22502.65,22502.75,22384.15,22384.15,09:15:00,22411.55260907612,0,1,22445.900562738534,2025-03-17
2025-03-17,22515.7,22519.0,22499.55,22504.2,09:20:00,22421.471408211724,0,2,22444.229626458615,2025-03-17
2025-03-17,22538.95,22549.15,22514.95,22514.95,09:25:00,22432.659845524893,0,3,22442.834112681547,2025-03-17
2025-03-17,22566.1,22576.75,22539.1,22539.1,09:30:00,22445.36843166538,0,4,22441.82569545467,2025-03-17
2025-03-17,22554.85,22567.7,22540.6,22565.65,09:35:00,22455.79524769725,0,5,22441.14446082083,2025-03-17
2025-03-17,22553.2,22558.3,22541.95,22555.0,09:40:00,22465.071890773703,0,6,22440.80410567593,2025-03-17
2025-03-17,22537.8,22560.4,22535.9,22553.75,09:45:00,22471.998377366683,0,7,22440.746736735306,2025-03-17
2025-03-17,22529.4,22549.85,22526.55,22536.55,09:50:00,22477.46519856986,0,8,22440.879593408074,2025-03-17
2025-03-17,22546.1,22547.7,22522.95,22529.75,09:55:00,22484.00184632511,0,9,22441.211416112008,2025-03-17
2025-03-17,22536.35,22554.55,22519.8,22546.1,10:00:00,22488.98738477034,0,10,22441.71173189176,2025-03-17
2025-03-17,22538.85,22543.55,22530.55,22536.3,10:05:00,22493.7362052684,0,11,22442.34658902582,2025-03-17
2025-03-17,22513.4,22543.35,22512.75,22538.75,10:10:00,22495.60894762379,0,12,22443.05279309949,2025-03-17
