close,ema,high,low,open,position,day,dateni,time_slot,hi_lo_diff
19242.5,19254.94389026174,19256.6,19238.8,19249.65,66,4,2023-11-03,25,17.799999999999272
19238.3,19253.35875785586,19241.8,19233.9,19240.9,67,4,2023-11-03,25,7.899999999997817
19233.35,19251.45316186959,19238.35,19217.35,19237.05,68,4,2023-11-03,25,21.0
19232.4,19249.63857502487,19236.15,19211.4,19232.95,69,4,2023-11-03,25,24.75
19241.05,19248.82061549869,19242.7,19227.35,19233.15,70,4,2023-11-03,50,15.350000000002183
19238.15,19247.80436640358,19249.95,19238.15,19241.9,71,4,2023-11-03,25,11.799999999999272
19233.05,19246.39918865086,19239.6,19221.35,19238.5,72,4,2023-11-03,25,18.25
19227.85,19244.63259925554,19236.45,19222.35,19233.95,73,4,2023-11-03,25,14.100000000002183
19227.7,19243.019970755013,19229.1,19224.2,19228.35,74,4,2023-11-03,15,4.899999999997817
19228.25,19241.613306873583,19231.05,19220.2,19227.35,75,4,2023-11-03,15,10.849999999998545
19345.85,19259.371490319176,19345.85,19345.85,19345.85,1,0,2023-11-06,25,0.0
19331.65,19266.255157907824,19345.85,19313.15,19345.85,2,0,2023-11-06,25,32.69999999999709
19349.7,19274.202285726125,19356.4,19331.65,19331.65,3,0,2023-11-06,25,24.75
19341.2,19280.583020418875,19349.6,19337.35,19348.95,4,0,2023-11-06,25,12.25
19339.7,19286.21320895041,19347.55,19335.15,19341.65,5,0,2023-11-06,25,12.399999999997817
19340.15,19291.350046193227,19343.6,19334.45,19339.5,6,0,2023-11-06,25,9.149999999997817
19339.5,19295.935756079583,19344.65,19336.65,19339.55,7,0,2023-11-06,25,8.0
19332.7,19299.437112643434,19342.5,19332.6,19339.6,8,0,2023-11-06,25,9.900000000001455
19333.5,19302.681197153583,19337.4,19324.4,19332.1,9,0,2023-11-06,25,13.0
19347.65,19306.96394028181,19349.05,19333.6,19333.6,10,0,2023-11-06,25,15.450000000000728
19349.8,19311.04356501688,19352.25,19344.05,19347.8,11,0,2023-11-06,25,8.200000000000728
19352.4,19314.982273110505,19352.45,19345.75,19349.05,12,0,2023-11-06,25,6.700000000000728
19354.85,19318.77919948093,19355.6,19347.4,19351.55,13,0,2023-11-06,25,8.19999999999709
19367.2,19323.39070429228,19367.2,19355.25,19355.4,14,0,2023-11-06,25,11.950000000000728
19363.75,19327.23444674063,19370.75,19360.6,19366.6,15,0,2023-11-06,25,10.150000000001455
19363.35,19330.67402324152,19364.5,19360.05,19363.6,16,0,2023-11-06,25,4.450000000000728
19354.75,19332.966973408995,19364.7,19353.35,19363.05,17,0,2023-11-06,25,11.350000000002183
19347.45,19334.3463092748,19355.65,19347.25,19354.85,18,0,2023-11-06,25,8.400000000001455
19346.55,19335.508565534343,19350.1,19343.2,19348.05,19,0,2023-11-06,25,6.899999999997817
19340.25,19335.96013072156,19347.45,19338.9,19346.4,20,0,2023-11-06,25,8.549999999999272
19334.15,19335.787737319497,19340.1,19328.55,19339.9,21,0,2023-11-06,25,11.549999999999272
19341.85,19336.36509567002,19342.75,19332.15,19334.3,22,0,2023-11-06,25,10.599999999998545
19324.6,19335.24461036812,19346.35,19324.45,19342.1,23,0,2023-11-06,25,21.899999999997817
19324.4,19334.21179033305,19325.05,19310.75,19325.05,24,0,2023-11-06,25,14.299999999999272
19332.05,19334.00590553944,19333.8,19321.85,19324.0,25,0,2023-11-06,25,11.950000000000728
19337.7,19334.35772405949,19338.2,19327.8,19332.3,26,0,2023-11-06,10,10.400000000001455
19333.75,19334.299845577632,19338.5,19332.55,19337.8,27,0,2023-11-06,10,5.950000000000728
19339.7,19334.81414599881,19340.0,19330.85,19333.7,28,0,2023-11-06,10,9.150000000001455
19340.8,19335.38422733226,19343.3,19338.05,19340.0,29,0,2023-11-06,10,5.25
19341.95,19336.0095390149,19344.15,19338.85,19340.95,30,0,2023-11-06,10,5.30000000000291
19342.55,19336.6324400611,19342.55,19335.75,19341.6,31,0,2023-11-06,10,6.799999999999272
19347.55,19337.672207674328,19347.55,19339.6,19342.65,32,0,2023-11-06,10,7.950000000000728
19344.75,19338.34628313392,19348.7,19341.7,19347.75,33,0,2023-11-06,10,7.0
19340.8,19338.57997045449,19349.0,19339.9,19344.45,34,0,2023-11-06,10,9.099999999998545
19345.2,19339.210449458827,19345.75,19339.5,19340.25,35,0,2023-11-06,10,6.25
19345.65,19339.82373998656,19348.5,19343.7,19345.1,36,0,2023-11-06,10,4.799999999999272
19346.9,19340.49766951165,19352.7,19341.4,19344.75,37,0,2023-11-06,10,11.299999999999272
19342.95,19340.73122479625,19349.2,19339.95,19346.6,38,0,2023-11-06,10,9.25
19344.2,19341.061584339463,19350.35,19340.45,19343.05,39,0,2023-11-06,10,9.899999999997817
19344.85,19341.422385830945,19348.5,19342.15,19343.85,40,0,2023-11-06,10,6.349999999998545
19354.75,19342.69168241848,19354.85,19342.55,19344.0,41,0,2023-11-06,10,12.299999999999272
19357.6,19344.11152218814,19357.6,19351.2,19354.0,42,0,2023-11-06,10,6.399999999997817
19355.05,19345.153281979747,19357.7,19350.55,19357.2,43,0,2023-11-06,10,7.150000000001455
19351.45,19345.75296941025,19354.3,19347.9,19354.3,44,0,2023-11-06,10,6.399999999997817
19357.3,19346.852686609272,19360.15,19350.25,19350.95,45,0,2023-11-06,10,9.900000000001455
19353.3,19347.46671645601,19358.6,19351.65,19356.95,46,0,2023-11-06,10,6.94999999999709
19353.9,19348.079410126866,19355.6,19347.5,19352.25,47,0,2023-11-06,10,8.099999999998545
19346.85,19347.962323448115,19358.35,19346.5,19353.25,48,0,2023-11-06,10,11.849999999998545
19355.8,19348.70876883401,19358.1,19343.45,19346.25,49,0,2023-11-06,10,14.649999999997817
19352.35,19349.05555275458,19358.9,19350.6,19354.95,50,0,2023-11-06,10,8.30000000000291
19355.85,19349.70264296843,19356.1,19349.85,19351.55,51,0,2023-11-06,10,6.25
