,sz,bd,sn,uw,lw,id
439,12.0,1.0,1.0,1.0,11.0,10439
440,10.0,3.0,-1.0,3.0,4.0,10440
441,12.0,8.0,-1.0,4.0,0.0,10441
442,6.0,1.0,-1.0,4.0,2.0,10442
443,6.0,2.0,-1.0,3.0,1.0,10443
444,14.0,0.0,1.0,5.0,8.0,10444
445,6.0,2.0,-1.0,4.0,0.0,10445
446,20.0,19.0,-1.0,0.0,1.0,10446
447,10.0,2.0,1.0,5.0,3.0,10447
448,18.0,7.0,1.0,10.0,1.0,10448
449,14.0,12.0,1.0,0.0,1.0,10449
450,13.0,5.0,1.0,1.0,8.0,10450
451,17.0,12.0,1.0,5.0,0.0,10451
452,21.0,8.0,1.0,7.0,6.0,10452
453,17.0,16.0,1.0,0.0,2.0,10453
454,26.0,24.0,1.0,1.0,1.0,10454
455,23.0,10.0,1.0,12.0,1.0,10455
456,20.0,8.0,1.0,0.0,12.0,10456
457,20.0,16.0,-1.0,2.0,2.0,10457
458,19.0,11.0,-1.0,7.0,0.0,10458
459,20.0,17.0,1.0,3.0,0.0,10459
460,17.0,6.0,-1.0,4.0,7.0,10460
461,19.0,11.0,1.0,4.0,4.0,10461
462,21.0,17.0,1.0,4.0,0.0,10462
463,11.0,2.0,1.0,8.0,2.0,10463
464,19.0,7.0,1.0,2.0,10.0,10464
465,21.0,9.0,1.0,11.0,2.0,10465
466,17.0,3.0,-1.0,13.0,1.0,10466
467,13.0,0.0,1.0,5.0,8.0,10467
468,12.0,4.0,-1.0,0.0,8.0,10468
469,17.0,10.0,-1.0,5.0,2.0,10469
470,8.0,7.0,1.0,0.0,1.0,10470
471,9.0,7.0,-1.0,1.0,2.0,10471
472,9.0,1.0,1.0,2.0,7.0,10472
473,27.0,8.0,-1.0,14.0,5.0,10473
474,21.0,3.0,1.0,6.0,13.0,10474
475,39.0,20.0,1.0,9.0,10.0,10475
476,18.0,12.0,1.0,2.0,4.0,10476
477,18.0,10.0,-1.0,0.0,7.0,10477
478,13.0,7.0,1.0,6.0,0.0,10478
479,13.0,11.0,-1.0,1.0,2.0,10479
480,12.0,5.0,-1.0,4.0,3.0,10480
481,12.0,4.0,-1.0,8.0,0.0,10481
482,10.0,6.0,-1.0,0.0,3.0,10482
483,9.0,1.0,-1.0,1.0,7.0,10483
484,23.0,23.0,1.0,0.0,0.0,10484
485,10.0,2.0,1.0,1.0,8.0,10485
486,9.0,6.0,-1.0,1.0,2.0,10486
487,9.0,2.0,-1.0,7.0,0.0,10487
488,14.0,12.0,1.0,1.0,1.0,10488
489,20.0,10.0,1.0,3.0,6.0,10489
490,11.0,0.0,-1.0,8.0,3.0,10490
491,12.0,1.0,1.0,4.0,6.0,10491
492,9.0,8.0,1.0,1.0,1.0,10492
493,9.0,4.0,1.0,1.0,4.0,10493
494,8.0,4.0,1.0,2.0,3.0,10494
495,12.0,7.0,1.0,4.0,1.0,10495
496,9.0,4.0,1.0,3.0,1.0,10496
497,14.0,14.0,-1.0,1.0,0.0,10497
498,12.0,11.0,1.0,1.0,0.0,10498
499,6.0,0.0,1.0,2.0,4.0,10499
500,7.0,3.0,-1.0,4.0,0.0,10500
501,16.0,16.0,1.0,1.0,0.0,10501
502,9.0,6.0,-1.0,2.0,0.0,10502
503,9.0,6.0,1.0,3.0,0.0,10503
504,11.0,9.0,1.0,2.0,0.0,10504
505,8.0,3.0,-1.0,1.0,4.0,10505
506,5.0,2.0,-1.0,1.0,1.0,10506
507,5.0,0.0,-1.0,3.0,1.0,10507
508,23.0,22.0,1.0,1.0,1.0,10508
509,10.0,2.0,1.0,6.0,3.0,10509
510,17.0,11.0,1.0,6.0,0.0,10510
511,5.0,2.0,1.0,1.0,2.0,10511
512,8.0,2.0,1.0,4.0,2.0,10512
513,9.0,4.0,-1.0,1.0,4.0,10513
514,11.0,6.0,1.0,1.0,3.0,10514
515,24.0,21.0,1.0,3.0,0.0,10515
516,22.0,20.0,-1.0,2.0,0.0,10516
517,16.0,6.0,-1.0,5.0,6.0,10517
518,14.0,8.0,1.0,7.0,0.0,10518
519,40.0,36.0,-1.0,0.0,4.0,10519
520,19.0,4.0,1.0,9.0,6.0,10520
521,11.0,4.0,-1.0,7.0,0.0,10521
522,14.0,2.0,-1.0,7.0,5.0,10522
523,12.0,7.0,-1.0,0.0,5.0,10523
524,19.0,14.0,-1.0,2.0,2.0,10524
525,20.0,13.0,1.0,1.0,5.0,10525
526,27.0,23.0,-1.0,1.0,3.0,10526
527,17.0,1.0,-1.0,11.0,5.0,10527
528,17.0,10.0,1.0,7.0,0.0,10528
529,10.0,3.0,1.0,2.0,5.0,10529
530,10.0,5.0,-1.0,0.0,5.0,10530
531,14.0,4.0,1.0,8.0,2.0,10531
532,6.0,0.0,1.0,3.0,3.0,10532
533,9.0,4.0,-1.0,0.0,5.0,10533
534,30.0,10.0,-1.0,0.0,20.0,10534
535,20.0,10.0,1.0,0.0,10.0,10535
536,15.0,13.0,-1.0,3.0,0.0,10536
537,14.0,8.0,-1.0,6.0,0.0,10537
538,14.0,7.0,1.0,5.0,2.0,10538
539,15.0,15.0,-1.0,0.0,0.0,10539
540,13.0,6.0,1.0,3.0,5.0,10540
541,9.0,1.0,-1.0,6.0,3.0,10541
542,11.0,0.0,-1.0,6.0,4.0,10542
543,11.0,4.0,-1.0,0.0,7.0,10543
544,12.0,8.0,1.0,0.0,3.0,10544
545,7.0,0.0,1.0,4.0,3.0,10545
