date,horizontal_index,close_s,open_s,high_s,low_s,ema_s,ema_sma_50,day_high,day_low
2025-02-28,0,24970,25000,25000,24970,25005,22540,25000,24970
2025-02-28,1,24760,24895,24900,24755,24970,22535,24900,24755
2025-02-28,2,24760,24760,24800,24755,24950,22535,24900,24755
2025-02-28,3,24780,24760,24785,24750,24935,22535,24900,24750
2025-02-28,4,24720,24785,24785,24720,24920,22535,24900,24720
2025-02-28,5,24705,24720,24730,24690,24900,22530,24900,24690
2025-02-28,6,24705,24710,24735,24695,24885,22530,24900,24690
2025-02-28,7,24705,24705,24730,24700,24870,22525,24900,24690
2025-02-28,8,24720,24705,24735,24705,24860,22525,24900,24690
2025-02-28,9,24685,24725,24730,24680,24845,22520,24900,24680
2025-02-28,10,24690,24690,24700,24675,24835,22515,24900,24675
2025-02-28,11,24705,24695,24705,24690,24825,22515,24900,24675
2025-02-28,12,24725,24705,24725,24705,24820,22510,24900,24675
2025-02-28,13,24755,24730,24760,24725,24815,22505,24900,24675
2025-02-28,14,24765,24765,24770,24745,24815,22500,24900,24675
2025-02-28,15,24750,24770,24770,24745,24815,22495,24900,24675
2025-02-28,16,24755,24755,24775,24750,24810,22495,24900,24675
2025-02-28,17,24775,24755,24780,24755,24815,22490,24900,24675
2025-02-28,18,24780,24780,24795,24770,24815,22485,24900,24675
2025-02-28,19,24760,24785,24795,24760,24815,22480,24900,24675
2025-02-28,20,24750,24765,24770,24750,24810,22475,24900,24675
2025-02-28,21,24745,24755,24765,24745,24810,22470,24900,24675
2025-02-28,22,24765,24750,24770,24750,24810,22465,24900,24675
2025-02-28,23,24775,24770,24780,24765,24810,22460,24900,24675
2025-02-28,24,24765,24780,24785,24765,24810,22455,24900,24675
2025-02-28,25,24770,24770,24780,24770,24815,22450,24900,24675
2025-02-28,26,24775,24780,24780,24770,24815,22445,24900,24675
2025-02-28,27,24795,24780,24800,24775,24820,22440,24900,24675
2025-02-28,28,24795,24805,24825,24795,24820,22435,24900,24675
2025-02-28,29,24810,24800,24815,24800,24825,22430,24900,24675
2025-02-28,30,24795,24815,24820,24790,24825,22425,24900,24675
2025-02-28,31,24785,24800,24805,24785,24830,22420,24900,24675
2025-02-28,32,24795,24790,24800,24785,24830,22415,24900,24675
2025-02-28,33,24810,24800,24815,24800,24835,22410,24900,24675
2025-02-28,34,24800,24815,24820,24800,24835,22405,24900,24675
2025-02-28,35,24800,24810,24810,24800,24840,22400,24900,24675
2025-02-28,36,24810,24805,24815,24805,24840,22395,24900,24675
2025-02-28,37,24835,24815,24840,24815,24845,22385,24900,24675
2025-02-28,38,24845,24845,24855,24835,24855,22380,24900,24675
2025-02-28,39,24860,24850,24865,24850,24860,22375,24900,24675
2025-02-28,40,24825,24865,24865,24825,24860,22370,24900,24675
2025-02-28,41,24800,24830,24835,24790,24860,22365,24900,24675
2025-02-28,42,24790,24805,24810,24790,24860,22355,24900,24675
2025-02-28,43,24800,24795,24810,24795,24860,22350,24900,24675
2025-02-28,44,24775,24810,24810,24775,24860,22345,24900,24675
2025-02-28,45,24745,24780,24780,24745,24855,22340,24900,24675
2025-02-28,46,24780,24750,24785,24750,24855,22330,24900,24675
2025-02-28,47,24780,24790,24805,24780,24855,22325,24900,24675
2025-02-28,48,24790,24790,24810,24780,24855,22315,24900,24675
2025-02-28,49,24800,24795,24815,24790,24860,22310,24900,24675
2025-02-28,50,24805,24810,24815,24800,24860,22300,24900,24675
2025-02-28,51,24810,24815,24830,24805,24865,22295,24900,24675
2025-02-28,52,24810,24815,24820,24805,24865,22290,24900,24675
2025-02-28,53,24820,24815,24825,24810,24865,22285,24900,24675
2025-02-28,54,24830,24825,24835,24815,24870,22275,24900,24675
2025-02-28,55,24860,24835,24860,24825,24875,22270,24900,24675
2025-02-28,56,24835,24870,24885,24830,24875,22265,24900,24675
2025-02-28,57,24855,24840,24870,24840,24880,22260,24900,24675
2025-02-28,58,24850,24860,24865,24845,24880,22255,24900,24675
2025-02-28,59,24870,24855,24875,24855,24885,22250,24900,24675
2025-02-28,60,24880,24875,24880,24865,24890,22245,24900,24675
2025-02-28,61,24870,24885,24905,24865,24890,22240,24905,24675
2025-02-28,62,24885,24870,24890,24870,24895,22240,24905,24675
2025-02-28,63,24895,24890,24900,24890,24900,22235,24905,24675
2025-02-28,64,24890,24900,24900,24885,24900,22230,24905,24675
2025-02-28,65,24890,24895,24900,24885,24905,22225,24905,24675
2025-02-28,66,24945,24890,24945,24890,24910,22225,24945,24675
2025-02-28,67,24940,24945,24975,24930,24920,22220,24975,24675
2025-02-28,68,24950,24945,24960,24935,24925,22215,24975,24675
2025-02-28,69,24950,24950,24955,24935,24930,22215,24975,24675
2025-02-28,70,24920,24955,24960,24905,24930,22210,24975,24675
2025-02-28,71,24915,24920,24925,24910,24935,22205,24975,24675
2025-02-28,72,24910,24920,24925,24900,24935,22205,24975,24675
2025-02-28,73,24910,24915,24915,24905,24935,22200,24975,24675
2025-02-28,74,24900,24915,24915,24895,24935,22200,24975,24675
2025-02-28,75,24925,24905,24925,24900,24935,22195,24975,24675
2025-03-03,0,24925,24905,24925,24900,24935,22195,24925,24900
2025-03-03,1,25070,25015,25075,25015,24960,22195,25075,25015
2025-03-03,2,24995,25075,25075,24985,24965,22190,25075,24985
2025-03-03,3,24985,25000,25015,24965,24970,22190,25075,24965
2025-03-03,4,24985,24985,24995,24965,24970,22185,25075,24965
2025-03-03,5,25000,24985,25005,24965,24975,22185,25075,24965
2025-03-03,6,24945,25005,25010,24940,24975,22180,25075,24940
2025-03-03,7,24895,24945,24950,24890,24970,22180,25075,24890
2025-03-03,8,24860,24900,24900,24860,24960,22175,25075,24860
